id	charter	title1	black	hisp	white	locale	type	studentteacherratio	students	shooting
340075403181	TRUE		0.8668407311	0.1174934726	0.007832898172		High	15.96	383	FALSE
450333000893	FALSE	FALSE	0.005893909627	0.02750491159	0.9017681729	Rural	Elementary	17.2	509	FALSE
280084000092	FALSE	FALSE	0.5828947368	0.009210526316	0.3986842105	Town	High	14.82	760	FALSE
160036000067	FALSE	TRUE	0.009433962264	0.1194968553	0.786163522	Urban	Middle	18.65	318	FALSE
510240002617	FALSE	TRUE	0.5644028103	0.04449648712	0.3208430913	Town	Elementary	17.79	427	FALSE
210093000183		TRUE	0.1125827815	0.03642384106	0.7516556291	Town	High	14.41	302	FALSE
560299000169	FALSE	FALSE	0	0.1692913386	0.7874015748	Town	Middle	11.12	254	FALSE
250870001397	FALSE	FALSE	0.03087248322	0.08859060403	0.7939597315	Suburb	High	16.43	1490	FALSE
450336001305	FALSE	TRUE	0.9652996845	0.01577287066	0.006309148265	Suburb	Elementary	14.41	317	FALSE
231110023137	FALSE	TRUE	0	0.008	0.976	Rural	Middle	12.38	125	FALSE
260026901409	TRUE	TRUE	0	0	0.962962963	Rural	High	33.75	27	FALSE
250774001211	FALSE	FALSE	0.009174311927	0.2810675563	0.6388657214	Suburb	Middle	14.27	1199	FALSE
370034003290	TRUE	TRUE	0.8770949721	0.04469273743	0.01675977654	Urban	Elementary	18.34	179	FALSE
370066000264	FALSE	TRUE	0.3828502415	0.0809178744	0.4963768116	Rural	High	15.63	828	FALSE
421158007485	FALSE	TRUE	0.6583850932	0.25	0.03881987578	Urban	Middle	11.44	644	FALSE
280300000592	FALSE	TRUE	0.7396061269	0.0284463895	0.2013129103	Suburb	Middle	15.54	457	FALSE
220090000702	FALSE	TRUE	0.01639344262	0.1598360656	0.7213114754	Town	Elementary	18.17	488	FALSE
530042003225	FALSE	FALSE	0.01459854015	0.08515815085	0.7591240876	Suburb	Elementary	16.9	411	FALSE
280126000006	FALSE	TRUE	0.2962962963	0.1031746032	0.5462962963	Town	Middle	16.91	756	FALSE
370294001175	FALSE	TRUE	0.02586206897	0.1551724138	0.7810344828	Town	Middle	13.85	580	FALSE
250279000268	FALSE	TRUE	0.4448818898	0.4343832021	0.01706036745	Urban	Elementary	15.87	762	FALSE
160336000570	FALSE	TRUE	0	0.597107438	0.3884297521	Town	Elementary	20.17	484	FALSE
402532001352	FALSE		0	0.03649635036	0.4452554745		Middle	14.11	137	FALSE
231478200246	FALSE	TRUE	0.0192926045	0.01607717042	0.8874598071	Suburb	Middle	12.85	311	FALSE
250327002759	FALSE	FALSE	0.2822580645	0.2177419355	0.3346774194	Urban	Middle	7.35	248	FALSE
500393000206		FALSE	0.006015037594	0.007518796992	0.9714285714	Rural	Middle	15.53	665	FALSE
340795003888	FALSE		0.07486631016	0.2780748663	0.6363636364		High	9.71	374	FALSE
251152001065	FALSE	TRUE	0.1197411003	0.08414239482	0.7378640777	Suburb	Elementary	14.74	618	FALSE
270028404804	TRUE	TRUE	0.1244239631	0.2119815668	0.5806451613	Suburb	Middle	9.09	217	FALSE
340264001354	FALSE		0.1531728665	0.8227571116	0.004376367615		Middle	12.69	457	FALSE
251113001838	FALSE	TRUE	0.2030651341	0.7394636015	0.05363984674	Urban	Elementary	11.86	261	FALSE
250861001358	FALSE	FALSE	0.07600950119	0.04750593824	0.5700712589	Urban	Elementary	12.79	421	FALSE
421899003629	FALSE	TRUE	0.836492891	0.03791469194	0.05924170616	Urban	Middle	15.63	422	FALSE
341056005984	FALSE		0.2522321429	0.1227678571	0.5		Elementary	10.93	448	FALSE
250003200553	TRUE	TRUE	0.008141112619	0.9837177748	0.008141112619	Suburb	Middle	12.11	737	FALSE
440090000230	FALSE		0.3696060038	0.4183864916	0.1088180113		Elementary	17.77	533	FALSE
231077000362	FALSE	TRUE	0.005415162455	0.01985559567	0.9368231047	Town	Middle	12.85	554	FALSE
220028400944	TRUE	TRUE	0.9583333333	0.03921568627	0	Urban	Middle	21.47	408	FALSE
220165001898	FALSE	FALSE	0.07260726073	0.09900990099	0.7805280528	Suburb	Elementary	16.34	606	FALSE
220180001394	FALSE	TRUE	0.6283783784	0.05405405405	0.1914414414	Town	Elementary	13.92	444	FALSE
370465001993	FALSE	TRUE	0.8045112782	0.07518796992	0.0977443609	Town	High	15.15	133	FALSE
250375002379	FALSE	TRUE	0.02941176471	0.2426470588	0.6926470588	Suburb	Elementary	12.65	680	FALSE
160102001009	TRUE	FALSE	0	0.1428571429	0.8571428571	Town	High	0.71	7	FALSE
250279000213	FALSE	TRUE	0.7647058824	0.1878557875	0.00569259962	Urban	Elementary	12.81	527	FALSE
231152000478	FALSE	TRUE	0	0.03448275862	0.9425287356	Rural	Elementary	11.45	87	FALSE
440090000162	FALSE		0.119133574	0.6444043321	0.1263537906		Elementary	12.97	554	FALSE
370018000049	FALSE	TRUE	0.5518518519	0.03703703704	0.3666666667	Rural	Elementary	13.31	270	FALSE
250528000779	FALSE	FALSE	0.02089552239	0.07164179104	0.8417910448	Suburb	Middle	12.64	670	FALSE
210132000266		TRUE	0	0.01824034335	0.9517167382	Town	High	18.87	932	FALSE
250180000024	FALSE	FALSE	0.01531914894	0.05361702128	0.8927659574	Suburb	High	12.11	1175	FALSE
210249001566		TRUE	0.33	0.114	0.394	Suburb	Elementary	15.35	500	FALSE
370472001913	FALSE	TRUE	0.4170692432	0.2785829308	0.2544283414	Town	Middle	13.96	621	TRUE
230536000912	FALSE	TRUE	0	0.01136363636	0.8636363636	Rural	Middle	11	88	FALSE
402277001176	FALSE		0.2294117647	0.3470588235	0.1911764706		Elementary	17.72	340	FALSE
100020000217	FALSE	TRUE	0.8551236749	0.06713780919	0.01766784452	Urban	Elementary	14.15	283	FALSE
